season_name,start_cost,end_cost,total_points,minutes,creativity,influence,ict_index,threat,goals_scored,expected_goals,assists,expected_assists,expected_goal_involvements,goals_conceded,expected_goals_conceded,own_goals,penalties_missed,yellow_cards
2012/13,6.0,6.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0
2013/14,7.0,6.3,7,132,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0,0.0,0,0,1
2015/16,10.0,10.3,131,2002,0.0,0.0,0.0,0.0,7,0.0,10,0.0,0.0,26,0.0,0,0,2
2016/17,10.5,10.5,199,2877,1702.0,872.4,336.6,790.0,6,0.0,21,0.0,0.0,34,0.0,0,1,4
2017/18,10.0,10.3,209,3073,1744.2,1146.6,368.9,797.0,8,0.0,18,0.0,0.0,22,0.0,0,0,2
2018/19,10.0,9.6,59,968,562.3,301.4,117.9,317.0,2,0.0,3,0.0,0.0,3,0.0,0,0,2
2019/20,9.5,10.6,251,2790,1990.8,1322.2,432.1,1005.0,13,0.0,23,0.0,0.0,22,0.0,0,0,3
2020/21,11.5,11.8,141,1995,1170.1,760.8,284.7,914.0,6,0.0,12,0.0,0.0,17,0.0,0,1,1
2021/22,12.0,12.1,196,2196,1222.0,1005.8,311.0,880.0,15,0.0,8,0.0,0.0,22,0.0,0,0,2
2022/23,12.0,12.1,183,2413,1476.7,897.8,297.6,598.0,7,5.34,18,13.69,19.03,23,19.88,0,0,1
2023/24,10.5,10.6,98,1219,901.1,527.6,183.6,406.0,4,2.4,10,6.9,9.3,8,10.92,0,0,2
2024/25,9.5,9.3,90,1646,987.0,459.0,179.0,419.0,4,5.17,9,7.69,11.15,19,20.18,0,0,2
